name,name:nan,name:nan-HJ,name:nan-TL
雙冬國小,Siang-tang Kok-sió,雙冬國小,Siang-tang Kok-sió
粗坑,Chhoo-kheⁿ,粗坑,Tshoo-khenn
豐崙,Hong-lūn,豐崙,Hong-lūn
福壽橋,Hok-siū-kiô,福壽橋,Hok-siū-kiô
福斗路口,Hok-táu Lō͘-kháu,福斗路口,Hok-táu Lōo-kháu
富久巷口,Hù-kiú Hāng-á-kháu,富久巷仔口,Hù-kiú Hāng-á-kháu
福龜,Hok-ku,福龜,Hok-ku
福龜旅遊中心,Hok-ku Lú-iû Tiong-sim,福龜旅遊中心,Hok-ku Lú-iû Tiong-sim
龜溝,Ku-kau,龜溝,Ku-kau
福龍園,Hok-liông-hn̂g,福龍園,Hok-liông-hn̂g
柑子林,Kam-á-nâ,柑子林,Kam-á-nâ
竹坑口,Tek-khiⁿ-kháu,竹坑口,Tik-khinn-kháu
郵局前,Iû-kio̍k-chêng,郵局前,Iû-kio̍k-tsîng
國姓,Kok-sèng,國姓,Kok-sìng
成功路口,Sêng-kong Lō͘-kháu,成功路口,Sîng-kong Lōo-kháu
姓中,Sèng-tiong,姓中,Sìng-tiong
石門,Chio̍h-mn̂g,石門,Tsio̍h-mn̂g
大旗尾,Tōa-kî-bóe,大旗尾,Tuā-kî-bué
瓦窯前,Hiā-iô-chêng,瓦窯前,Hiā-iô-tsîng
廟前,Biō-chêng,廟前,Biō-tsîng
長流加油站,Tńg-liû Ka-iû-chām,長流加油站,Tńg-liû Ka-iû-tsām
公館,Kong-koán,公館,Kong-kuán
長流口,Tńg-liû-kháu,長流口,Tńg-liû-kháu
水長流,Chúi-tn̂g-lâu,水長流,Tsuí-tn̂g-lâu
埔尾,Po͘-bóe,埔尾,Poo-bué
埔源,Po͘-goân,埔源,Poo-guân
三層埔,Saⁿ-chân-po͘,三層埔,Sann-tsân-poo
埔頭,Po͘-thâu,埔頭,Poo-thâu
橋頭,Kiô-thâu,橋頭,Kiô-thâu
泰雅渡假村,Thài-ngá Tō͘-ká-chhoan,泰雅渡假村,Thài-ngá Tōo-ká-tshuan
傅厝,Hū-chhù,傅厝,Hū-tshù
北港溪溫泉,Pak-káng-khe Un-chôaⁿ,北港溪溫泉,Pak-káng-khe Un-tsuânn
後頭厝,Āu-thâu-chhù,後頭厝,Āu-thâu-tshù
華山文創園區,Hôa-san Bûn-chhòng Hn̂g-khu,華山文創園區,Huâ-san Bûn-tshòng Hn̂g-khu
審計部,Sím-kè-pō͘,審計部,Sím-kè-pōo
仁愛杭州路口,Jîn-ài Hâng-chiu Lō͘-kháu,仁愛杭州路口,Jîn-ài Hâng-tsiu Lōo-kháu
仁愛紹興街口,Jîn-ài Siāu-heng koe-á-kháu,仁愛紹興街仔口,Jîn-ài Siāu-hing Kue-á-kháu
仁愛臨沂街口,Jîn-ài Lîm-kî Koe-á-kháu,仁愛臨沂街仔口,name:nan=Jîn-ài Lîm-kî Kue-á-kháu
仁愛路二段,Jîn-ài-lō͘ 2-tōaⁿ,仁愛路二段,Jîn-ài-lōo 2=tuānn
臺北商大,Tâi-pak Siong-tāi,臺北商大,Tâi-pak Siong-tāi
開南中學,Khai-lâm Tiong-ha̍k,name=開南中學,Khai-lâm Tiong-ha̍k
成功中學(濟南),Sêng-kong Tiong-ha̍k(Chè-lâm),,Sîng-kong Tiong-ha̍k(Tsè-lâm)
衛生福利部,Ōe-seng Hok-lī-pō͘,衛生福利部,Uē-sing Hok-lī-pōo
青島林森路口,Chheng-tó Lîm-sim Lō͘-kháu,青島林森路口,Tshing-tó Lîm-sim Lōo-kháu
濟南路二段,Chè-lâm-lō͘ 2-tōaⁿ,濟南路二段,Tsè-lâm-lōo 2-tuānn
濟南金山路口,Chè-lâm Kim-san Lō͘-kháu,濟南金山路口,Tsè-lâm Kim-san Lōo-kháu
正義郵局,Chèng-gī Iû-kio̍k,正義郵局,Tsìng-gī Iû-kio̍k
懷生國中,Hoâi-seng Kok-tiong,懷生國中,Huâi-sing Kok-tiong
頂好市場,Téng-hó Chhī-tiûⁿ,頂好市場,Tíng-hó Tshī-tiûnn
下草埔,E-chháu-po͘,下草埔,E-tsháu-poo
草埔,Chháu-po͘,草埔,Tsháu-poo
金山,Kim-san,金山,Kim-san
馬卡道,Ma-ká-táu,馬卡道,Ma-ká-táu
南福德,Lâm-hok-tek,name=南福德,Lâm-hok-tik
鹽寮,Iâm-liâu,鹽寮,Iâm-liâu
寶強路口,Pó-kiông Lō͘-kháu,寶強路口,Pó-kiông Lōo-kháu
西新里 (新新公園),Se-sin-lí (Sin-sin Kong-hn̂g),西新里 (新新公園),Se-sin-lí (Sin-sin Kong-hn̂g)
南京龍江路口,Lâm-kiaⁿ Liông-kang Lō͘-kháu,南京龍江路口,Lâm-kiann Liông-kang Lōo-kháu
三安里,Saⁿ-an-lí,三安里,Sann-an-lí
